span_id,span_text,extractor,rank,concept_uri,score,decision
pflege-fachkraft-002-esco-1,übernehmen dieganzheitlicheGrund-undBehandlungspflege,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/grundpflege,0.6349,accepted
pflege-fachkraft-002-esco-1,übernehmen dieganzheitlicheGrund-undBehandlungspflege,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/empathie,0.4806,rejected
pflege-fachkraft-002-esco-1,übernehmen dieganzheitlicheGrund-undBehandlungspflege,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.4467,rejected
pflege-fachkraft-002-esco-10,Dokumentationssoftware,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/softwareentwicklung,0.3484,rejected
pflege-fachkraft-002-esco-10,Dokumentationssoftware,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/deutsch,0.3424,rejected
pflege-fachkraft-002-esco-10,Dokumentationssoftware,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/kommunikationsstaerke,0.3300,rejected
pflege-fachkraft-002-esco-2,dokumentieren denPflegeverlaufsorgfältig,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/grundpflege,0.5550,accepted
pflege-fachkraft-002-esco-2,dokumentieren denPflegeverlaufsorgfältig,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.4663,rejected
pflege-fachkraft-002-esco-2,dokumentieren denPflegeverlaufsorgfältig,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/empathie,0.3924,rejected
pflege-fachkraft-002-esco-3,wirken beiderPflegeplanung,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/grundpflege,0.5937,accepted
pflege-fachkraft-002-esco-3,wirken beiderPflegeplanung,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.4036,rejected
pflege-fachkraft-002-esco-3,wirken beiderPflegeplanung,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/empathie,0.3924,rejected
pflege-fachkraft-002-esco-4,Verabreichung vonMedikamenten,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/medikamentengabe,0.8734,accepted
pflege-fachkraft-002-esco-4,Verabreichung vonMedikamenten,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/kundenberatung,0.3088,rejected
pflege-fachkraft-002-esco-4,Verabreichung vonMedikamenten,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.3064,rejected
pflege-fachkraft-002-esco-5,Begleitung,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/grundpflege,0.4521,rejected
pflege-fachkraft-002-esco-5,Begleitung,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.3704,rejected
pflege-fachkraft-002-esco-5,Begleitung,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/kundenberatung,0.3585,rejected
pflege-fachkraft-002-esco-6,Beratung,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/kundenberatung,0.3978,rejected
pflege-fachkraft-002-esco-6,Beratung,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/grundpflege,0.3327,rejected
pflege-fachkraft-002-esco-6,Beratung,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/schichtdienst,0.3098,rejected
pflege-fachkraft-002-esco-7,Umgang mit pflegebedürftigen Menschen,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.6403,accepted
pflege-fachkraft-002-esco-7,Umgang mit pflegebedürftigen Menschen,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/pflegeplanung,0.6170,rejected
pflege-fachkraft-002-esco-7,Umgang mit pflegebedürftigen Menschen,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/pflegedokumentation,0.4693,rejected
pflege-fachkraft-002-esco-8,Verantwortungsbewusstsein,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/eigenverantwortung,0.4654,rejected
pflege-fachkraft-002-esco-8,Verantwortungsbewusstsein,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/rechnungswesen,0.4251,rejected
pflege-fachkraft-002-esco-8,Verantwortungsbewusstsein,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/medikamentengabe,0.4229,rejected
pflege-fachkraft-002-esco-9,Pflegedokumentation,escoxlm_r,1,http://data.europa.eu/esco/skill/mini/pflegedokumentation,1.0000,accepted
pflege-fachkraft-002-esco-9,Pflegedokumentation,escoxlm_r,2,http://data.europa.eu/esco/skill/mini/pflegeplanung,0.6909,rejected
pflege-fachkraft-002-esco-9,Pflegedokumentation,escoxlm_r,3,http://data.europa.eu/esco/skill/mini/pflegeausbildung,0.5200,rejected
